,title,view_count,like_count,duration,title_length,giveaway
161,I Built A Giant House Using Only Legos,62908589,1036240,829.0,38,0
162,"Last To Leave Slime Pit Wins $20,000 - Challenge",102237674,1890718,1088.0,48,1
163,"Saying Pewdiepie 100,000 Times",25075761,1670006,42520.0,30,0
164,Destroyed Friend's House And Bought Him A New One,42096169,1115043,878.0,49,0
165,I Put 100 Million Orbeez In My Friend's Backyard,180837067,4563027,885.0,48,0
166,"Spending $40,000 In One Hour Challenge",43504777,925186,843.0,38,1
167,"Giving My 10,000,000th Subscriber 10,000,000 ___",26248909,735723,1099.0,48,0
168,"$10,000 Games Of Rock Paper Scissors",18104442,512080,787.0,36,1
169,"Last To Remove Hand, Gets Lamborghini Challenge",75277732,1492257,1187.0,47,0
170,"You Pick The Right Cup, You Win $100,000!",35769317,980361,1055.0,41,1
171,I Bought Every Billboard In My City For This,38106372,1326463,931.0,44,0
172,"Ordering Water Then Tipping $30,000",42786718,1147458,723.0,35,1
173,"I Spent $50,000 On Lottery Tickets And Won ____",30727615,747424,1014.0,47,1
174,"Last To Leave Circle Wins $10,000 - Challenge",82483515,1432660,996.0,45,1
175,I Spent 24 Hours Straight In Slime,40420404,910484,878.0,34,0
176,"Surprising Tfue With $10,000 Live - Fortnite",70272465,1490456,923.0,44,1
177,"I Spent $30,000 On Lottery Tickets And Won ____",16907400,423833,1052.0,47,1
178,Flat Earth PROVEN By Independent Research,27226927,785620,712.0,41,0
179,Things That SHOULDN'T Be Sold On Amazon,111025019,1767252,846.0,39,0
180,"Surprising My 8,000,000th Subscriber With 8,000,000 ___",28212596,503442,1132.0,55,0
181,"I Donated $25,000 To Random Kids Streaming Fortnite",62469550,1289429,1057.0,51,1
182,I Hope This Magic Trick Works,42352743,719439,982.0,29,0
183,Can A Glowing 1000 Degree Sword Slice A Car In Half?,67418463,1126079,613.0,52,0
184,Rocket League In Real Life!,27985512,540830,775.0,27,0
185,Destroying My Friend's Car And Surprising Him With A New One - Slime,96738318,2160846,971.0,68,0
186,Spending 24 Hours Straight Under Water Challenge,108886200,2840576,911.0,48,0
187,"Attempting The Impossible Maze - $10,000 Challenge",55195811,1007923,1187.0,50,1
